showName,className,fenceHeight,entryFee,prizeMoney,1st,2nd,3rd,4th,5th,6th,7th,8th,
,,,,,,,,,,,,,
WEC Wilmington,Novice Adult Jumper,0.90, $50 , $150 , $45 , $33 , $23 , $18 , $17 , $15 , $-   , $-   ,
WEC Wilmington,Novice Adult Classic,0.90, $60 , $500 , $150 , $110 , $75 , $60 , $55 , $50 , $-   , $-   ,
WEC Wilmington,Open Jumper,0.95, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
WEC Wilmington,Low Adult Jumper,1.00, $50 , $200 , $60 , $44 , $30 , $24 , $22 , $20 , $-   , $-   ,
WEC Wilmington,Low Adult Jumper Classic,1.00, $75 , $750 , $225 , $165 , $113 , $90 , $83 , $75 , $-   , $-   ,
WEC Wilmington,Open Jumper,1.00, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
WEC Wilmington,Adult Amateur Jumper,1.10, $50 , $500 , $150 , $110 , $75 , $60 , $55 , $50 , $-   , $-   ,
WEC Wilmington,Adult Jumper Classic,1.10, $150 , $2,500 , $625 , $475 , $375 , $250 , $225 , $200 , $175 , $175 ,
WEC Wilmington,Open Jumper,1.10, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
WEC Wilmington,Modified Children’s/Adult Jumper,1.15, $50 , $600 , $180 , $132 , $90 , $72 , $66 , $60 , $-   , $-   ,
WEC Wilmington,Modified Children’s/Adult Jumper Classic ,1.15, $175 , $2,500 , $625 , $475 , $375 , $250 , $225 , $200 , $175 , $175 ,
WEC Wilmington,Open Jumper,1.15, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
WEC Wilmington,Open Jumper,1.20, $60 , $500 , $150 , $110 , $75 , $60 , $55 , $50 , $-   , $-   ,
WEC Wilmington,Low Junior/Amateur/Amateur Owner Jumper,1.20, $90 , $1,000 , $300 , $220 , $150 , $120 , $110 , $100 , $-   , $-   ,
WEC Wilmington,Low Junior/Amateur/Amateur Owner Jumper Classic,1.20, $200 , $5,000 , $1,250 , $950 , $750 , $500 , $450 , $400 , $350 , $350 ,
,,,,,,,,,,,,,
WEC Ocala,Novice Adult Jumper,0.90, $50 , $150 , $45 , $33 , $23 , $18 , $17 , $15 , $-   , $-   ,
WEC Ocala,Novice Adult Classic,0.90, $60 , $500 , $150 , $110 , $75 , $60 , $55 , $50 , $-   , $-   ,
